ofac_id,grb_id,Type,Name,name_matches,atleast_1_date_of_births_matches,atleast_1_aliases_matches,atleast_1_id_numbers_matches
7885,7574,Individual,Humam abd-al-Khaliq ABD-AL-GHAFUR,true,false,false,
7886,7599,Individual,Yahia Abdallah AL-UBAIDI,true,,,
7887,7604,Individual,Nayif Shindakh Thamir GHALIB,true,,,
7888,7585,Individual,Saif-al-Din AL-MASHHADANI,true,false,,
7889,7605,Individual,Fadil Mahmud GHARIB,true,false,false,
7890,7583,Individual,Muhsin Khadr AL-KHAFAJI,true,,,
7893,7598,Individual,Ghazi Hammud AL-UBAIDI,true,false,,
7894,7618,Individual,Adil Abdallah MAHDI,true,false,,
7896,7586,Individual,Khamis Sirhan AL-MUHAMMAD,true,,false,
7913,7886,Individual,Usama HAMDAN,true,false,,
7914,7887,Individual,Khalid MISHAAL,true,false,,
7921,7842,Individual,Agus DWIKARNA,true,true,,
7924,7840,Individual,Aris MUNANDAR,true,true,,
7925,7843,Individual,Abdul Hakim MURAD,true,false,false,
7927,7838,Individual,Parlindungan SIREGAR,true,true,false,
7928,7834,Individual,Yassin SYAWAL,true,true,false,
7929,7835,Individual,Mukhlis YUNOS,false,false,true,
7936,7848,Individual,Yazid SUFAAT,true,true,false,false
7944,7860,Individual,Djamel MOUSTFA,true,true,false,
7946,8703,Entity,AL-AKHTAR TRUST INTERNATIONAL,true,,false,
8084,7881,Individual,Mokhtar BELMOKHTAR,true,true,,
8087,7997,Individual,Djamel LOUNICI,true,true,,
8091,7874,Individual,Hamadi Ben Abdul Aziz Ben Ali BOUYAHIA,false,true,false,true
8093,7879,Individual,Noureddine Ben Ali Ben Belkassem DRISSI,false,true,,true
8094,7865,Individual,Radi Abd El Samie Abou El Yazid EL AYASHI,true,true,false,
8096,7878,Individual,Kamel Ben Mouldi Ben Hassan HAMRAOUI,false,true,false,true
8098,7868,Individual,Mohamed Amin MOSTAFA,true,true,,
8103,7876,Individual,Imed Ben Mekki Ben Al-Akhdar ZARKAOUI,false,true,false,true
8104,7890,Individual,Saifi AMMARI,true,true,false,
8175,8008,Individual,Shaykh Abd-al-Majid AL-ZINDANI,false,true,false,true
